"","abibal","acepen","acerub","alninc","betall","betpap","betpop","faggra","fraame","larlar","picrub","pinstr","popgra","prupen","querub","rhutyp","tsucan","class.error"
"abibal",38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.073170731707317
"acepen",0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384615384615384
"acerub",0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0294117647058824
"alninc",0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143
"betall",0,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0740740740740741
"betpap",0,0,0,0,0,12,1,0,0,0,0,0,0,1,0,1,0,0.2
"betpop",0,0,0,0,0,1,12,0,1,0,0,0,0,0,0,1,0,0.2
"faggra",0,0,0,0,0,1,1,45,0,0,0,0,0,0,0,0,0,0.0425531914893617
"fraame",0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
"larlar",1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0.666666666666667
"picrub",2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0.153846153846154
"pinstr",0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"popgra",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"prupen",0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0.111111111111111
"querub",0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0.0666666666666667
"rhutyp",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0.0666666666666667
"tsucan",5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,0.153846153846154
